Sunday Lake,48.2306,-122.2684,1840042107
Rocky Point,47.5882,-122.6668,1840037507
Burbank,46.1991,-118.9728,1840017383
Lakeland North,47.3374,-122.2814,1840074254
Granite Falls,48.0874,-121.9704,1840019787
Camas,45.6003,-122.4306,1840018524
Skokomish,47.3298,-123.1579,1840018433
Cusick,48.3328,-117.2961,1840021060
Rosalia,47.2363,-117.3769,1840021138
Longbranch,47.2257,-122.7739,1840023835
Granger,46.3455,-120.1926,1840019872
North Fort Lewis,47.1221,-122.5966,1840042007
Tampico,46.5325,-120.8727,1840023857
Tukwila,47.4748,-122.2727,1840021120
Cathlamet,46.2056,-123.3835,1840022327
Wenatchee,47.4338,-120.3286,1840021074
Port Ludlow,47.9101,-122.7006,1840018388
Castle Rock,46.2717,-122.9057,1840018501
Glacier,48.8903,-121.9323,1840017292
Index,47.8212,-121.5556,1840021082
Republic,48.6477,-118.7326,1840019766
Bellevue,47.5953,-122.155,1840018417
Malo,48.7997,-118.6119,1840026093
Anderson Island,47.1577,-122.7037,1840041888
University Place,47.2148,-122.546,1840021130
Montesano,47.0102,-123.5858,1840019847
Rainier,46.8917,-122.6867,1840021147
Fords Prairie,46.7461,-123.0029,1840017377
Roy,46.9971,-122.5423,1840019856
Oso,48.2836,-121.9237,1840018374
Marblemount,48.5378,-121.4346,1840017315
Elk Plain,47.0448,-122.3671,1840037546
Burlington,48.4677,-122.3298,1840018367
Bangor Base,47.7227,-122.7146,1840036750
Beaux Arts Village,47.5854,-122.2009,1840019838
Port Gamble Tribal Community,47.8487,-122.5571,1840042014
Olympia,47.0417,-122.8959,1840019865
East Wenatchee,47.4172,-120.2809,1840019795
Addy,48.3588,-117.8372,1840025238
Minnehaha,45.6577,-122.6204,1840018518
Bryn Mawr-Skyway,47.4949,-122.2411,1840037012
Satsop,47.0223,-123.4737,1840018445
Riverbend,47.4651,-121.7491,1840037860
Easton,47.2405,-121.1733,1840017354
Silverdale,47.6663,-122.6828,1840018406
Napavine,46.5844,-122.9007,1840019884
Lochsloy,48.0597,-122.0411,1840037500
Ellensburg,46.9994,-120.547,1840019841
McKenna,46.9365,-122.55,1840023836
Fairfield,47.3848,-117.1748,1840021096
Northwest Stanwood,48.2623,-122.3501,1840042009
Mansfield,47.8119,-119.638,1840022286
Duvall,47.7354,-121.9725,1840018427
Markham,46.9155,-123.9814,1840017359
Waller,47.2035,-122.3699,1840037889
Longview,46.146,-122.963,1840019904
Richland,46.2826,-119.2937,1840019889
Rosedale,47.3453,-122.6368,1840023839
Vancouver,45.6367,-122.597,1840021189
Bethel,47.4874,-122.6175,1840023792
Custer,48.9143,-122.6397,1840018344
Lofall,47.8113,-122.6564,1840023798
Fairwood,47.4467,-122.143,1840037517
Winlock,46.4907,-122.9342,1840021164
Sumner,47.219,-122.2338,1840021128
Cottage Lake,47.7466,-122.0755,1840037848
Puget Island,46.1742,-123.3829,1840042033
Woods Creek,47.8821,-121.8982,1840037864
Washougal,45.5812,-122.3433,1840021190
Sisco Heights,48.1188,-122.1076,1840037510
Canterwood,47.3766,-122.6022,1840037842
Wapato,46.4434,-120.4215,1840021153
Lower Elochoman,46.2185,-123.3698,1840041981
Lake Goodwin,48.1387,-122.2804,1840037872
Banks Lake South,47.6315,-119.276,1840034884
Kent,47.3887,-122.2128,1840018424
Bickleton,46.0056,-120.3081,1840017400
Ryderwood,46.375,-123.0441,1840025275
Cavalero,47.9845,-122.0746,1840041913
La Conner,48.3925,-122.4945,1840021068
Martha Lake,47.848,-122.2326,1840037875
George,47.0845,-119.8598,1840019814
Snohomish,47.9277,-122.097,1840021078
Eatonville,46.8682,-122.2698,1840021131
Carson,45.7353,-121.8219,1840017391
Almira,47.7105,-118.9369,1840021108
Nooksack,48.9276,-122.3211,1840019753
Mount Vista,45.7373,-122.6315,1840037858
High Bridge,47.7968,-122.0281,1840041937
Lakeland South,47.2784,-122.2831,1840074270
Kenmore,47.7532,-122.2459,1840018423
Neah Bay,48.3612,-124.6115,1840023937
Cliffdell,46.9213,-121.042,1840023851
Port Angeles East,48.1041,-123.3695,1840074570
Burien,47.4762,-122.3393,1840018420
Taholah,47.3283,-124.2728,1840018447
Wauna,47.386,-122.6694,1840023842
Connell,46.6624,-118.8405,1840018479
Disautel,48.345,-119.2299,1840023755
Santiago,47.2975,-124.2327,1840042040
Orting,47.0966,-122.2111,1840019858
Colville,48.5454,-117.8986,1840018361
Marysville,48.081,-122.1558,1840019789
Walla Walla,46.0669,-118.3365,1840021174
Zillah,46.4083,-120.2717,1840021155
Curlew,48.8777,-118.6045,1840025242
Key Center,47.3376,-122.7505,1840023833
Hoodsport,47.402,-123.1542,1840025233
Spanaway,47.0979,-122.4233,1840018451
Mattawa,46.7364,-119.9019,1840022292
Clallam Bay,48.2536,-124.2579,1840025247
Prairie Ridge,47.1443,-122.1408,1840037882
Rockport,48.4854,-121.6065,1840018365
Stansberry Lake,47.3814,-122.7154,1840042090
Copalis Beach,47.1205,-124.1722,1840017356
Frederickson,47.0914,-122.3594,1840037551
Asotin,46.3371,-117.0433,1840018500
Mill Creek,47.8633,-122.2034,1840019790
Bell Hill,48.055,-123.087,1840037847
Green Bluff,47.819,-117.277,1840023785
Clayton,48.0013,-117.5612,1840025239
Puyallup,47.1794,-122.2902,1840019859
Hockinson,45.7301,-122.4833,1840017399
Lake McMurray,48.3129,-122.2317,1840037893
Bucoda,46.7968,-122.868,1840021143
Issaquah,47.542,-122.0444,1840018422
Odessa,47.3326,-118.6895,1840022295
Hazel Dell,45.6797,-122.6553,1840037662
McMillin,47.1286,-122.2374,1840023837
Wilbur,47.7583,-118.711,1840022296
Skamokawa Valley,46.3004,-123.4243,1840042053
Centerville,45.754,-120.9081,1840017401
Nile,46.8368,-120.9455,1840023854
Spokane Valley,47.6625,-117.2346,1840021094
Woodland,45.9149,-122.7503,1840021181
Lewisville,45.8127,-122.5144,1840037855
Vantage,46.9453,-119.9923,1840018441
Gorst,47.5237,-122.7057,1840023795
Lake Morton-Berrydale,47.3325,-122.103,1840074253
Ione,48.7402,-117.4223,1840021061
Bothell West,47.8056,-122.24,1840041906
Vaughn,47.355,-122.7773,1840023841
Black Diamond,47.313,-122.0181,1840018418
Ferndale,48.8525,-122.5893,1840019751
Acme,48.7146,-122.2293,1840017288
White Center,47.5086,-122.348,1840037727
Fairchild AFB,47.6187,-117.6485,1840073916
Pacific,47.2611,-122.2507,1840019834
Glenwood,46.0228,-121.2926,1840037769
Colfax,46.9032,-117.3394,1840018458
Silvana,48.2018,-122.2459,1840018373
Forks,47.9526,-124.3904,1840019781
Kirkland,47.6997,-122.2041,1840019836
Okanogan,48.3671,-119.5784,1840019760
Kayak Point,48.1387,-122.3342,1840041938
Union Hill-Novelty Hill,47.6788,-122.0284,1840074663
Outlook,46.3311,-120.0923,1840023855
Lake Tapps,47.2305,-122.1696,1840041971
Cohassett Beach,46.8656,-124.1054,1840017355
